Model,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1 (>50K),F1-macro,ROC-AUC,PR-AUC,MCC,TN,FP,FN,TP,Train Time (s),Predict Time (s)
kNN,0.8307999385843697,0.7498578109201213,0.6669054441260746,0.59375,0.9059656218402427,0.6282051282051282,0.7593420791095209,0.853866511215204,0.6393948428305946,0.5206293960710072,4480,465,637,931,0.08,1.69
Decision Tree,0.8524489482573315,0.741031512453313,0.7909875359539789,0.5261479591836735,0.9559150657229525,0.6319417847567982,0.7698355107173334,0.8819460494005489,0.7181695349549355,0.5619842979122829,4727,218,743,825,0.22,0.02
NN: 1 Layer (50),0.839091048671887,0.7598909432327026,0.6878612716763006,0.6071428571428571,0.912639029322548,0.6449864498644986,0.7704781365860114,0.8894015290646088,0.732994759727627,0.5432414797559274,4513,432,616,952,21.26,0.02
"NN: 2 layers (100, 50)",0.8223552894211577,0.7625889245991622,0.6269302038295244,0.6473214285714286,0.8778564206268958,0.6369626608095388,0.7596847047314286,0.8724172530488435,0.6885709228257639,0.51952586068205,4341,604,553,1015,38.22,0.02
"NN: 3 layers (250,100,50)",0.8217411331183786,0.7454165462949589,0.6385296119809394,0.5982142857142857,0.892618806875632,0.6177148501810997,0.7507434997727003,0.8615142201976846,0.6809664013113855,0.502101566148819,4414,531,630,938,51.37,0.03
NN: Slow Learning Rate,0.8478427759864886,0.7558549013639835,0.7332255456750202,0.5784438775510204,0.9332659251769464,0.6467023172905526,0.7748725362012885,0.8995567311859021,0.7534961993976765,0.5577539705591977,4615,330,661,907,72.74,0.03
NN: Extensive Training,0.8223552894211577,0.7625889245991622,0.6269302038295244,0.6473214285714286,0.8778564206268958,0.6369626608095388,0.7596847047314286,0.8724172530488435,0.6885709228257639,0.51952586068205,4341,604,553,1015,49.09,0.03
